,SX,M (€),R (mois),F (mois),CA_MOIS (€),CA_TRIM (€),CA_SEM (€),CA_ANNU (€),AG (an),NB_LIV_ENF (unité),NB_LIV_ADO (unité),NB_LIV_ROM (unité),NB_LIV_ART (unité),NB_LIV_BRIC (unité),NB_LIV_ESS (unité),NB_LIV_HIST (unités),NB_LIV_SCI (unité),NB_LIV_GEO (unités),NB_LIV_ECO (unité),NB_LIV_FIN (unité)
Compte-Client,Sexe,Panier moyen,Recence,Frequence,Achats du mois,Achats du trimestre,Achats du semestre,Achats de l'année,Age Client,Cumul livres enfants,Cumul livres ados,Cumul romans,Cumul livres d'art,Cumul livres bricolage,Cumul essais,Cumul livres historiques,Cumul livres scientifiques,Cumul livres géograohie,Cumul livres d'économie,Cumul livres de finances
00010166,F,27,12,1,0,0,0,324,12,0,0,1,0,0,0,0,0,0,0,0
00010026,F,29,16,1,0,0,0,0,16,1,0,0,0,0,0,0,0,0,0,0
00010224,F,33,12,1,0,0,0,396,12,0,1,0,0,0,0,0,0,0,0,0
00010219,F,39,16,1,0,0,0,0,16,0,1,0,0,0,0,0,0,0,0,0
00010144,M,44,12,2,0,0,0,264,20,0,0,2,0,0,0,0,0,0,0,0
00010086,F,51,12,1,0,0,0,612,12,0,0,0,1,0,0,0,0,0,0,0
00010175,F,52,4,2,0,0,156,312,6,1,0,0,0,0,0,1,0,0,0,0
00010037,F,55,8,1,0,0,0,660,8,0,0,0,0,0,0,1,0,0,0,0
00010168,M,56,14,1,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0
00010170,F,57,10,2,0,0,0,342,14,0,0,2,0,0,0,0,1,0,0,0
00010201,F,57,2,1,0,171,342,684,2,0,0,0,0,0,0,1,0,0,0,0
00010107,M,62,14,1,0,0,0,0,14,0,0,0,1,0,0,0,0,0,0,0
00010193,F,63,4,1,0,0,378,756,4,0,0,0,1,0,0,0,0,0,0,0
00010222,F,69,14,2,0,0,0,0,18,0,0,1,0,0,0,1,0,0,0,0
00010036,F,71,10,1,0,0,0,852,10,0,0,0,1,0,0,0,0,0,0,0
00010098,F,72,12,4,0,0,0,216,26,1,1,1,0,0,0,1,1,0,0,0
00010197,F,75,8,2,0,0,0,450,14,0,0,1,0,0,0,1,0,0,0,0
00010126,M,81,22,1,0,0,0,0,22,0,0,1,0,0,0,0,0,0,0,0
00010022,F,87,16,1,0,0,0,0,16,0,0,0,0,1,0,0,0,0,0,0
00010132,F,89,14,5,0,0,0,0,38,1,0,1,2,1,0,0,0,0,0,0
00010143,F,92,12,3,0,0,0,368,28,0,0,2,0,1,0,0,1,0,0,0
00010059,F,97,6,2,0,0,291,582,10,0,0,1,0,0,0,1,0,0,0,0
00010052,F,102,22,2,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0
00010123,F,113,20,1,0,0,0,0,20,1,0,0,0,0,0,0,0,0,0,0
00010024,F,114,2,2,0,171,342,684,6,0,0,0,0,0,1,1,0,0,0,0
00010179,F,117,24,2,0,0,0,0,32,0,0,1,0,0,1,0,0,0,0,0
00010221,F,123,14,2,0,0,0,0,18,1,0,0,0,1,0,0,0,0,0,0
00010094,M,127,12,2,0,0,0,762,16,0,1,0,0,0,0,1,0,0,0,0
00010029,M,128,8,2,0,0,0,768,10,0,1,0,0,0,1,0,0,0,0,0
00010178,M,130,14,2,0,0,0,0,18,1,0,0,0,0,0,1,0,0,0,1
00010035,F,132,14,2,0,0,0,0,20,0,0,0,0,0,1,1,0,0,0,0
00010186,F,132,18,2,0,0,0,0,20,1,0,0,0,0,0,1,0,0,0,0
00010016,F,134,2,2,0,201,402,804,6,2,0,0,0,0,0,0,0,0,0,0
